Código,Nome,Volume,Última (R$),Variação
TOTS3,Totvs,2.791.100,30,50,+1,84%
MULT3,Multiplan,2.633.200,27,51,+1,14%
ECOR3,EcoRodovias,2.626.700,6,37,+2,74%
TRAD3,Traders Club,2.617.700,1,70,-3,41%
CSMG3,COPASA,2.567.900,20,80,+3,02%
DIRR3,Direcional,2.537.200,19,20,+1,69%
QUAL3,Qualicorp,2.301.300,4,77,+2,14%
SMFT3,Smart Fit,2.270.800,22,40,+3,46%
CPFE3,CPFL Energia,2.236.300,35,70,+0,34%
SBSP3,Sabesp,2.182.500,56,00,+1,74%
ENAT3,Enauta,2.179.500,12,84,+0,94%
RAPT4,Randon,2.073.600,12,19,+1,75%
KEPL3,Kepler Weber,2.023.700,9,30,-0,64%
RCSL4,Recrusul,2.019.800,0,89,+4,71%
BRKM5,Braskem,1.986.100,27,05,+0,30%
EGIE3,Engie,1.934.700,44,70,+0,13%
NEOE3,Neoenergia,1.911.100,21,21,+1,97%
SAPR4,Sanepar,1.855.800,4,23,+0,95%
RCSL3,Recrusul,1.848.300,1,67,+2,45%
MILS3,Mills,1.731.400,12,15,+5,19%
ZAMP3,Zamp,1.689.800,4,65,+3,33%
SLCE3,SLC Agrícola,1.681.000,40,81,+1,75%
AZEV4,Azevedo & Travassos,1.678.400,1,94,+0,52%
TRIS3,Trisul,1.656.900,6,24,+2,80%
MLAS3,Multilaser,1.656.700,3,05,+3,39%
BRSR6,Banrisul,1.632.500,15,09,+1,28%
SBFG3,Grupo SBF,1.507.500,13,64,+2,79%
KLBN4,Klabin,1.499.700,4,37,+1,39%
VIVT3,Vivo,1.489.600,42,11,-0,68%
NGRD3,Neogrid,1.456.400,1,89,-1,56%
PSSA3,Porto Seguro,1.409.100,28,93,+0,63%
LUPA3,Lupatech,1.378.700,3,28,+5,81%
SMTO3,São Martinho,1.334.500,34,59,+3,38%
CXSE3,Caixa Seguridade,1.330.500,10,24,+0,20%
GRND3,Grendene,1.328.300,7,58,-0,26%
AMBP3,Ambipar,1.276.100,23,34,+0,00%
ELET6,Eletrobras,1.247.800,43,85,+1,15%
CAML3,Camil Alimentos,1.219.500,7,27,+2,11%
GUAR3,Guararapes,1.211.500,8,29,+3,24%
GGPS3,GPS,1.210.600,17,58,+1,74%
BRIT3,Brisanet,1.209.100,2,76,-0,72%
SEER3,Ser Educacional,1.207.700,5,77,+4,34%
CURY3,Cury,1.197.400,15,97,-0,06%
CASH3,Méliuz,1.194.300,7,78,+0,39%
PTBL3,Portobello,1.181.900,7,81,+6,26%
VIVA3,Vivara,1.147.400,29,41,+0,51%
TTEN3,3tentos,1.124.000,13,53,+2,97%
MTRE3,Mitre Realty,1.121.100,7,53,+6,06%
MYPK3,Iochpe-Maxion,1.120.100,12,15,+1,67%
POSI3,Positivo,1.115.700,9,06,+0,44%
WEST3,Westwing,1.063.100,1,66,-0,60%
ARZZ3,Arezzo,1.057.000,83,55,-0,12%
LAVV3,Lavvi Incorporadora,1.030.800,7,34,+3,67%
ENJU3,Enjoei,1.008.700,1,32,+0,76%
INTB3,Intelbras,1.007.700,24,50,+0,20%
TRPL4,Transmissão Paulista,960.800,25,23,+0,72%
MEAL3,IMC Alimentação,912.800,2,74,+3,40%
ATMP3,Atma,889.600,2,37,+20,92%
AESB3,AES Brasil,886.100,12,14,+0,25%
